term,estimate,std.error,statistic,p.value,cpgid,n,bacon.pval,bacon.statistic,bacon.es,bacon.se,lambda,b.lambda
BMI,1.15956301217356,0.173489178909605,6.68377716386418,0.0068307586677172,cg1,6,4.53213012604268e-10,6.23450356383915,1.15986967012538,0.186040421382187,1.03990296172265,1.1663353303856
BMI,1.01968208583561,0.748191098778845,1.3628631608955,0.266206207419385,cg10,6,0.20317217808167,1.2725657518017,1.0210045818631,0.802319707580977,1.03990296172265,1.1663353303856
BMI,0.137206251940048,0.430886117643041,0.318428109706968,0.771040779015061,cg100,6,0.765250107910181,0.29859365418497,0.137967882464409,0.462058990640643,1.03990296172265,1.1663353303856
BMI,1.62527044076779,0.212215506845249,7.65858473270273,0.00462372193584961,cg1000,6,9.09537252216738e-13,7.14354560672533,1.62564555103739,0.227568442974162,1.03990296172265,1.1663353303856
BMI,0.228814143010361,0.380416923675867,0.601482554454705,0.589932859631279,cg1001,6,0.573740126721039,0.562551792105532,0.229486564629883,0.407938554014653,1.03990296172265,1.1663353303856
BMI,-0.716744349131809,0.642426221492684,-1.11568352155123,0.345876756509636,cg1002,6,0.298913838193466,-1.03876543973246,-0.715608802174263,0.688903167936133,1.03990296172265,1.1663353303856
BMI,0.667542460742201,1.11553070310546,0.598407967511667,0.591734703397954,cg1003,6,0.575694566143738,0.559684632591106,0.669514263034171,1.19623485092774,1.03990296172265,1.1663353303856
BMI,-0.730799407376967,0.956534067008689,-0.764007715545722,0.500455529207227,cg1004,6,0.477198580437236,-0.710815490076462,-0.729108646145184,1.02573544938751,1.03990296172265,1.1663353303856
BMI,0.275576584987177,0.0860685091351113,3.20182826165345,0.0492629030595776,cg1005,6,0.00281301667518038,2.98746482052883,0.27572871892944,0.0922952186866696,1.03990296172265,1.1663353303856
BMI,-0.262396217874971,0.266810825989559,-0.983454164207114,0.397900621497672,cg1006,6,0.359951790629909,-0.915456954066066,-0.261924605397839,0.286113513294626,1.03990296172265,1.1663353303856
BMI,1.7018728206948,0.711776255926252,2.39102218783642,0.0966523277674342,cg1007,6,0.0256572995365125,2.2313598893727,1.70313095016528,0.763270397696397,1.03990296172265,1.1663353303856
BMI,-0.679761922337657,0.660168267029241,-1.02967978966421,0.378910926767047,cg1008,6,0.337778455083861,-0.958563961379599,-0.678595014695949,0.70792877891976,1.03990296172265,1.1663353303856
BMI,-0.961147498275313,0.8360587336019,-1.14961719750777,0.333637270092716,cg1009,6,0.284434901007824,-1.07040977559961,-0.959669688186762,0.896544211443865,1.03990296172265,1.1663353303856
BMI,-0.0709813102472665,0.322150600802096,-0.220335799686656,0.839752345028511,cg101,6,0.83849222947991,-0.203822474376745,-0.070411879669289,0.345456897648783,1.03990296172265,1.1663353303856
BMI,0.500424484725263,0.7806279195469,0.641053787847768,0.567098242585696,cg1010,6,0.548870611808807,0.599453346825727,0.501804315792802,0.837103201525182,1.03990296172265,1.1663353303856
BMI,-0.403252397697047,0.877495860939074,-0.459549059599548,0.677095475458061,cg1011,6,0.669454220345169,-0.426897178993336,-0.401701343705456,0.940979147842358,1.03990296172265,1.1663353303856
BMI,-0.849229290000534,0.781884550588932,-1.08613130846604,0.356897649306783,cg1012,6,0.311917380168503,-1.01120697074481,-0.847847237722981,0.838450744755549,1.03990296172265,1.1663353303856
BMI,-0.499341014151528,0.684573383056083,-0.729419265356713,0.518536096300621,cg1013,6,0.497416343334925,-0.678560554409984,-0.498130968240668,0.734099506673798,1.03990296172265,1.1663353303856
BMI,0.00181424761223548,0.693104765148106,0.00261756620854829,0.99807581641447,cg1014,6,0.996737210028273,0.00408931219586437,0.00303937351929449,0.743248099856081,1.03990296172265,1.1663353303856
BMI,-0.793817225818618,0.664225922404388,-1.19510124348224,0.317910511911141,cg1015,6,0.265783495527543,-1.11282523419174,-0.792643145900838,0.712279989298185,1.03990296172265,1.1663353303856
BMI,-0.451365012315963,0.391467472465673,-1.1530077057821,0.332438377576478,cg1016,6,0.283014757646687,-1.07357154276951,-0.450673057843271,0.419788565446381,1.03990296172265,1.1663353303856
BMI,0.574506356475191,0.573577759076888,1.00161895642502,0.390333327607726,cg1017,6,0.349431308198131,0.935692936991803,0.575520207494103,0.615073796906461,1.03990296172265,1.1663353303856
BMI,-0.922663536462845,0.198731881162521,-4.64275551092026,0.0188356246442461,cg1018,6,1.50549378357547e-05,-4.32788303495464,-0.922312259731803,0.213109331348062,1.03990296172265,1.1663353303856
BMI,1.2495033500887,0.185636012265885,6.73093186412046,0.00669528457305224,cg1019,6,3.4190566924091e-10,6.27847696579347,1.24983147867668,0.199066029147839,1.03990296172265,1.1663353303856
BMI,-0.299433685829597,0.638791126333238,-0.468750540647604,0.671207457614633,cg102,6,0.663215590886823,-0.435477880864034,-0.298304564234389,0.685005088300975,1.03990296172265,1.1663353303856
BMI,-0.581030900453076,0.738480007210643,-0.786793000189298,0.488831920871656,cg1020,6,0.464129772629248,-0.732063562375304,-0.579725569665911,0.791906057699271,1.03990296172265,1.1663353303856
BMI,0.863229785338517,0.356050093802812,2.42446161470917,0.0937935065811305,cg1021,6,0.0236638554736601,2.26254332073809,0.863859136363157,0.381808882263234,1.03990296172265,1.1663353303856
BMI,-0.451137754330088,0.820641005639173,-0.549738254888579,0.620778687602149,cg1022,6,0.60934983285709,-0.511001747887364,-0.449687196482331,0.88001107303737,1.03990296172265,1.1663353303856
BMI,0.61188063484431,0.607936664719809,1.0064874687667,0.388328364228994,cg1023,6,0.347098060971867,0.940232994482504,0.612955218363643,0.651918430815129,1.03990296172265,1.1663353303856
BMI,-0.250870851590593,0.945501548960522,-0.265330978956511,0.807942193216061,cg1024,6,0.805850954701076,-0.245782047723342,-0.249199591340999,1.01390477314887,1.03990296172265,1.1663353303856
BMI,-0.227698225106549,0.660705083388758,-0.344629140642728,0.753118146257748,cg1025,6,0.749172751983989,-0.319730348086094,-0.226530368592949,0.708504431778094,1.03990296172265,1.1663353303856
